"Kinase.Gene","mS","Enrichment","m","z.score","p.value","FDR","Line","Drug","lgpadj"
"MAP2K1",-2.37859023351006,-64.9906363176371,2,-5.06790267306015,2.01111481924023e-07,8.04445927696093e-06,"H292","TSA",5.09450314248158
"MAP2K1",-2.44170046090953,-122.919948100514,2,-5.03497745099062,2.38952543026511e-07,9.55810172106043e-06,"H292","Abexinostat",5.01962835185873
"MAP2K1",-2.22610427907578,-70.9343247581218,2,-4.83265171840783,6.7363182674449e-07,2.02089548023347e-05,"H292","Belinostat",4.69445614741081
"MAP2K1",-2.20274638021417,-41.802397089757,2,-4.50711128134919,3.28580861610627e-06,9.85742584831882e-05,"H292","CUDC101",4.00623648118724
"MAP2K1",-2.13904067048367,-70.1945933258764,2,-4.22841697500652,1.17670664897272e-05,0.000353011994691817,"H292","Panobinostat",3.45221053784173
"MAP2K1",-1.79875717111023,-2377.24712610102,2,-3.97107157395879,3.57750387920596e-05,0.00107325116376179,"H292","Vorinostat",2.96929863192838
"MAPK14",-1.99065060288124,-8.15184054785463,7,-3.94222207179993,4.03650872882697e-05,0.00363285785594428,"PC9","CUDC101",2.43975159459166
"JAK2",-2.5659917580466,-129.177013632518,1,-3.74003454390033,9.19974834697649e-05,0.0018399496693953,"H292","Abexinostat",2.73519405666593
"MAP2K2",-2.5659917580466,-129.177013632518,1,-3.74003454390033,9.19974834697649e-05,0.0018399496693953,"H292","Abexinostat",2.73519405666593
"MAPK11",-4.62608148804675,-18.9440972701873,1,-3.73848684450493,9.2565589240889e-05,0.00416545151584001,"PC9","CUDC101",2.38033791617562
"JAK2",-2.33942785459787,-63.9205957997881,1,-3.52544098246364,0.000211389184102009,0.00422778368204019,"H292","TSA",2.37388724182337
"MAP2K2",-2.33942785459787,-63.9205957997881,1,-3.52544098246364,0.000211389184102009,0.00422778368204019,"H292","TSA",2.37388724182337
"JAK2",-2.23674533545578,-71.2733996865172,1,-3.43330837044185,0.000298131762530782,0.00596263525061564,"H292","Belinostat",2.2245617567267
"MAP2K2",-2.23674533545578,-71.2733996865172,1,-3.43330837044185,0.000298131762530782,0.00596263525061564,"H292","Belinostat",2.2245617567267
"MAPK11",-3.71756170420287,-28.7224260947812,1,-3.36699165062889,0.000379964945475694,0.0324107106941912,"PC9","TSA",1.48931144575947
"CDK2",-0.279054270711856,-13.3308283373576,64,-3.26924571670858,0.000539173064918141,0.00974593992570048,"HCT116","Abexinostat",2.01117626995218
"CDK2",-0.318518872911495,-12.0380248654261,62,-3.20088971672808,0.000685019791752349,0.0045768533731618,"HCT116","CUDC101",2.33943300067009
"MAPK14",-1.41288263865181,-10.9161381567378,7,-3.18641541229803,0.000720238015426472,0.0324107106941912,"PC9","TSA",1.48931144575947
"RET",-1.53704670690861,-77.3779193910196,2,-3.18456441306165,0.000724860214957599,0.0124261751135588,"H292","Abexinostat",1.90566253046567
"CDK2",-0.29296700480207,-5.75065253535979,64,-3.1844213831336,0.000725218515858967,0.0128121937801751,"HCT116","Vorinostat",1.89237650139876
"CDK3",-0.912748457665658,-11.0985177789971,3,-3.16399157637737,0.000778106497880953,0.0451301768770953,"PSC1","Panobinostat",1.34553296436162
"RPS6KA3",-1.38479196120975,-248.79942624217,2,-3.15204245271596,0.000810663495869575,0.00960277551372742,"HCT116","Belinostat",2.01760322361866
"JAK2",-2.2271256884979,-73.0851844693413,1,-3.11133778196251,0.0009312088427976,0.018624176855952,"H292","Panobinostat",1.7299229129323
"MAP2K2",-2.2271256884979,-73.0851844693413,1,-3.11133778196251,0.0009312088427976,0.018624176855952,"H292","Panobinostat",1.7299229129323
"CDK3",-0.92219330154259,-8.04278224025014,3,-3.10984419665468,0.000935930259376676,0.0180946516812824,"PSC1","Abexinostat",1.74244977256424
"CDK2",-0.233269512277329,-41.9104980676587,64,-3.06294477256958,0.00109585252350337,0.00968003062427978,"HCT116","Belinostat",2.01412326873141
"RET",-1.39586634592351,-44.4789750558225,2,-3.05534315772017,0.00112401573797767,0.0192688412224744,"H292","Belinostat",1.71514440188928
"EGFR",-3.80984668332308,-15.6015639456119,1,-3.04210091474264,0.00117466558793426,0.0352399676380277,"PC9","CUDC101",1.45296449908611
"CDK3",-0.817759019055384,-6.30237248039337,3,-3.01461894685296,0.00128651148406697,0.0571346289984208,"PSC1","Belinostat",1.24310058834921
"MAPK8",-0.480105584719595,-15.4467133722591,8,-3.00633589575003,0.00132208366985467,0.0586605830471493,"PSC1","Vorinostat",1.23165362473594
"CDK3",-0.791998896039285,-25.4814364332162,3,-2.96425493342726,0.00151708404432283,0.0586605830471493,"PSC1","Vorinostat",1.23165362473594
"MAPK14",-1.38486229167257,-8.02224886764147,7,-2.89260424993166,0.00191031182816969,0.171928064535272,"PC9","Panobinostat",0.764653225826151
"CDK3",-0.816166035110541,-18.6026877427369,3,-2.85718833133535,0.00213706077224323,0.0826330165267383,"PSC1","TSA",1.0828463929896
"MAPK14",-1.19634225128967,-48.7027996426646,7,-2.84650409202647,0.0022101080563496,0.161231516604347,"PC9","Belinostat",0.792550060859132
"CSNK2A1",-0.154502157289795,-1.19072993580602,29,-2.8118727114119,0.002462699525794,0.0571346289984208,"PSC1","Belinostat",1.24310058834921
"HIPK2",-1.44057225743581,-54.4446377602054,2,-2.78357312051617,0.00268818711905352,0.0158304352566485,"HCT116","CUDC101",1.80050714407877
"HIPK2",-0.58952848553824,-7.16834120399914,5,-2.75779129855247,0.00290966691367029,0.0641794674181252,"PSC1","Panobinostat",1.19260389114094
"RET",-1.24269922659674,-1642.35796386661,2,-2.74295963639788,0.00304440846890282,0.0681306721510109,"H292","Vorinostat",1.16665732645712
"CSNK2A1",-0.179160899581485,-1.56252718263174,29,-2.73995488059826,0.00307238095945052,0.0395995768106956,"PSC1","Abexinostat",1.40230945523009
"PKM",-1.9389696013154,-414.286589407151,1,-2.71527169999595,0.00331107084280538,0.041471784757606,"A549","Abexinostat",1.38224727416815
"CDK1",-0.101144286397429,-1.22985873205061,65,-2.71441691295763,0.00331962762507544,0.0641794674181252,"PSC1","Panobinostat",1.19260389114094
"RET",-1.2561986626659,-34.3233354269452,2,-2.71273677632005,0.00333650447693162,0.0400380537231795,"H292","TSA",1.39752704202757
"CHEK1",-0.538407525786606,-17.2729060353069,8,-2.68161067064543,0.00366343374758545,0.0353021797494598,"HCT116","Panobinostat",1.45219847807008
"CDK3",-1.71650330999562,-56.8959867204935,1,-2.67441936781916,0.00374293876867221,0.0435983301253517,"A549","CUDC101",1.3605301444753
"PKM",-1.70614096435001,-56.5525117753461,1,-2.65855305138349,0.00392384971128165,0.0435983301253517,"A549","CUDC101",1.3605301444753
"MAPK11",-2.91631326842163,-118.722397920888,1,-2.65508252323969,0.00396445044726361,0.161231516604347,"PC9","Belinostat",0.792550060859132
"JAK2",-1.83680033908784,-34.8576930321342,1,-2.64456939877477,0.00408974659161968,0.0413709003157148,"H292","CUDC101",1.38330502786223
"MAP2K2",-1.83680033908784,-34.8576930321342,1,-2.64456939877477,0.00408974659161968,0.0413709003157148,"H292","CUDC101",1.38330502786223
"DYRK1A",-0.762054566423681,-6.64615425278151,3,-2.62953898457266,0.00427503640296716,0.0475735381453924,"PSC1","Abexinostat",1.32263454797302
"MAPK3",-1.03655743156964,-4.2447684634457,15,-2.61820461371781,0.00441968920665313,0.0743992130743748,"PC9","CUDC101",1.12843165799262
"SGK1",-2.0100716511101,-8.23137097283465,3,-2.60948924310767,0.00453387484436841,0.0743992130743748,"PC9","CUDC101",1.12843165799262
"CDK6",-0.962006890955895,-36.3578546168476,4,-2.60435030565055,0.00460243106214561,0.0232313186946398,"HCT116","CUDC101",1.63392613735643
"CDK1",-0.285808909093902,-10.8017924432023,51,-2.57794761700143,0.00496945316856739,0.0239437289030974,"HCT116","CUDC101",1.62080821333105
"PKM",-1.72380843485671,-28.9340039503956,1,-2.54296938927814,0.00549574289547436,0.0747795280766667,"A549","Belinostat",1.12621727994599
"JAK2",-1.62177567530444,-2143.34743189288,1,-2.53157626685454,0.00567755601258424,0.0681306721510109,"H292","Vorinostat",1.16665732645712
"MAP2K2",-1.62177567530444,-2143.34743189288,1,-2.53157626685454,0.00567755601258424,0.0681306721510109,"H292","Vorinostat",1.16665732645712
"HIPK2",-0.665258642680862,-13.1664680942792,5,-2.51909277671499,0.00588288251777679,0.153822303127214,"PSC1","CUDC101",0.812980690393918
"MAPK11",-2.58314514818996,-68.9077069739452,1,-2.5024129572539,0.00616749764083172,0.229282280219551,"PC9","Vorinostat",0.639629507852854
"MAPK3",-0.39935065842292,-527.783972339343,16,-2.48996737369594,0.00638774112040849,0.0696844485862745,"H292","Vorinostat",1.15686413218522
"MAPK11",-2.67045707329061,-49.8150475721095,1,-2.48446280603771,0.00648735306397252,0.241031970170264,"PC9","Abexinostat",0.617925349343466
"MAPK14",-1.04059211270823,-19.411338274705,7,-2.47920911549981,0.0065837041436546,0.241031970170264,"PC9","Abexinostat",0.617925349343466
"MAPK11",-2.91024863585733,-16.8585273524665,1,-2.46903154591845,0.00677396372959099,0.20321891188773,"PC9","Panobinostat",0.692035878345311
"HIPK2",-0.523081725731022,-11.9224834030103,5,-2.43160822490689,0.00751597839790414,0.145308915692813,"PSC1","TSA",0.837707737956618
"MAPK14",-0.970099327634951,-25.8782671392396,7,-2.4255434627234,0.00764274267398502,0.229282280219551,"PC9","Vorinostat",0.639629507852854
"RET",-1.19939378004365,-39.3592135902271,2,-2.39703010959968,0.00826428272141126,0.0762856866591809,"H292","Panobinostat",1.11755694026355
"MAPK8",-0.329698000782475,-2.54094367479113,8,-2.38710667575844,0.0084907814966445,0.140704379087252,"PSC1","Belinostat",0.851692385977947
"CLK4",-1.34969674561153,-26.7125265241712,1,-2.38089033252118,0.00863542638354123,0.166951576748464,"PSC1","CUDC101",0.777409474962869
"PKM",-1.64762525003591,-73.7062700823867,1,-2.34043982882955,0.00963052091276268,0.137578870182324,"A549","Vorinostat",0.861448261361174
"EIF2AK2",-1.67841020855912,-28.0035160173539,1,-2.31479088370787,0.010312189540643,0.0736584967188787,"A549","Panobinostat",1.13277714881749
"CHEK1",-0.50219702807388,-20.714797472054,8,-2.30860675081784,0.0104827064995091,0.0529127089975219,"HCT116","TSA",1.27644000311437
"CDK4",-0.427499686907675,-3.72837981345363,6,-2.29966148198636,0.0107337029680496,0.0778193465183598,"PSC1","Abexinostat",1.10891242046959
"CSNK1A1",-0.750205197044334,-24.136783694968,2,-2.29740779861072,0.0107977586566538,0.117180725913978,"PSC1","Vorinostat",0.93114381594227
"MAPK15",-1.06858775020122,-34.3802888693867,1,-2.2865187107617,0.0111119653883945,0.117180725913978,"PSC1","Vorinostat",0.93114381594227
"PBK",-1.06858775020122,-34.3802888693867,1,-2.2865187107617,0.0111119653883945,0.117180725913978,"PSC1","Vorinostat",0.93114381594227
"PLK3",-1.06858775020122,-34.3802888693867,1,-2.2865187107617,0.0111119653883945,0.117180725913978,"PSC1","Vorinostat",0.93114381594227
"VRK1",-1.06858775020122,-34.3802888693867,1,-2.2865187107617,0.0111119653883945,0.117180725913978,"PSC1","Vorinostat",0.93114381594227
"CDK3",-0.759319702065948,-15.0280777868901,3,-2.2498493134894,0.0122292562032819,0.202656245654386,"PSC1","CUDC101",0.693240007212504
"CHEK1",-0.484986040819027,-87.1352896833862,8,-2.22423388911334,0.0130663560365561,0.0659539876130927,"HCT116","Belinostat",1.18075894164895
"SGK1",-1.41422176557788,-57.5726212335853,3,-2.20996732925327,0.0135537148929367,0.246732935652906,"PC9","Belinostat",0.607772873949306
"MAPK8",-0.33843068116714,-4.11513040679108,8,-2.18446066017817,0.014464207503365,0.186427563376704,"PSC1","Panobinostat",0.72948987665247
"MAPK3",-0.328268171976373,-10.4601933240947,16,-2.17764089344956,0.0147163912683984,0.117731130147187,"H292","Belinostat",0.929108686998777
"CHEK1",-0.505976096846805,-24.171213981655,8,-2.17199642439165,0.0149279663085694,0.0753506870813501,"HCT116","Abexinostat",1.12291278323948
"CDK3",-1.51093811907231,-41.821094498473,1,-2.15667354149523,0.0155155549741864,0.128003328537038,"A549","TSA",0.892778737020309
"PKM",-1.52615621645978,-25.4632269481399,1,-2.11204863770291,0.0173411388802753,0.102006699295737,"A549","Panobinostat",0.991371304986814
"CDK3",-1.50274749084784,-321.081945947558,1,-2.10587101827557,0.0176077788822321,0.134090008410845,"A549","Abexinostat",0.872603581982113
"RET",-1.05511082070353,-20.0232590991525,2,-2.10134579851298,0.0178053110888642,0.133539833166481,"H292","CUDC101",0.874389170673465
"DYRK1A",-0.526846769976487,-4.06034602751238,3,-2.08904914849662,0.018351649587786,0.203415266988512,"PSC1","Belinostat",0.691616454952879
"CDK4",-0.851206538895748,-181.871574284069,3,-2.07096241541074,0.0191811542659859,0.135638162309472,"A549","Abexinostat",0.867618102882909
"MAPK3",-0.606892527428709,-24.7064459489979,15,-2.0707658946005,0.0191903394396705,0.246732935652906,"PC9","Belinostat",0.607772873949306
